Country,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under-five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling
Guyana,Developing,65.7,232,1,7.2,362.8702271,94,0,4.3,1,94,6.45,94,1.9,2327.58324,747869,0.62,11.2
Cameroon,Developing,53.3,394,58,5.22,0.962497052,81,196,23.8,91,78,4.69,81,7.2,12.989164,17899562,0.456,8.2
Zimbabwe,Developing,46.6,67,29,3.88,29.81456607,72,242,28.2,46,73,4.47,73,23.7,396.9982166,1332999,0.414,9.6
Kyrgyzstan,Developing,69.9,18,3,0.01,0,96,0,42.2,4,94,6.97,96,0.1,,,0.638,12.3
Brunei Darussalam,Developing,77.6,8,0,0.01,269.1432784,99,1,4.2,0,99,2.65,99,0.1,4159.8652,,0.863,15
Poland,Developed,73.7,153,3,8.4,412.4323974,99,77,53.1,4,98,5.5,98,0.1,4492.72764,38258629,0.777,14.6
Djibouti,Developing,57.9,322,2,1.03,13.46662004,,50,29,2,62,5.45,62,4.3,792.15412,746221,0.372,3.3
Solomon Islands,Developing,66.5,22,0,1.08,156.2847968,75,0,39.6,0,78,6.9,78,0.1,784.9562874,435262,0.446,7.3
El Salvador,Developing,71,213,3,2.77,440.6027042,89,0,49.4,3,89,7.19,89,0.2,2835.281237,628961,0.644,12.7
Panama,Developing,77.2,12,1,6.95,201.7490628,85,0,55.6,1,87,7.25,85,0.1,1589.82713,3772938,0.765,12.8
Mauritania,Developing,62,214,8,0.01,8.353074798,64,1292,27.4,12,52,3.28,64,1.2,123.383675,369543,0.484,7.6
Ukraine,Developing,75,24,5,8.48,415.1627705,21,1333,59,5,54,6.98,5,0.2,3569.75727,45761,0.734,14.9
United Kingdom of Great Britain and Northern Ireland,Developed,78.8,83,4,12.22,0,,189,6.1,4,92,7.98,92,0.1,,,,
Uganda,Developing,58.4,362,79,10.03,116.202964,8,1313,16.3,119,79,11.2,8,8,594.9972557,33915133,0.473,10.9
Maldives,Developing,72.7,112,0,1.75,491.4978908,98,75,16.7,0,98,5.9,98,0.1,3432.247841,34,0.601,11.8
Mongolia,Developing,68.4,225,1,0.01,281.0023992,99,0,51.5,1,99,4.73,99,0.1,4181.583321,2923896,0.729,14.8
Samoa,Developing,73,139,0,2.15,558.7206486,58,0,72.9,0,6,5.8,65,0.1,3942.9827,187665,0.693,12.9
Argentina,Developing,74,138,12,7.76,123.0128671,,0,54.6,13,85,9.38,83,0.1,717.694674,3747159,0.771,15.6
Chad,Developing,47.6,44,41,0.25,21.52701616,,3546,13.9,74,3,6.28,36,4.6,166.231785,8342559,0,4.7
South Africa,Developing,54.5,486,51,8.48,805.490079,83,31,45,79,79,7.53,82,26.4,6125.39984,48883844.99,0.612,12.9
United Republic of Tanzania,Developing,49.2,457,114,3.89,0,,14649,16,181,64,2.64,79,12.8,,,,
Sri Lanka,Developing,74.2,138,4,1.97,97.76637062,99,3,16.6,5,99,4.6,99,0.1,1259.87591,19373,0.712,12.9
India,Developing,62.5,224,1800,0.93,19.26615743,,38835,11.4,2500,57,4.26,58,0.3,438.864634,1535912,0.489,8.3
Iran (Islamic Republic of),Developing,74.7,93,22,0.03,0,99,73,54.8,25,99,7.12,99,0.1,,,0.745,13.1
Vanuatu,Developing,71.4,138,0,0.01,427.9885222,64,0,5.8,0,65,3.7,64,0.1,3158.58688,247485,0.592,10.8
Senegal,Developing,59.7,247,24,0.35,66.02236299,54,31,19.1,42,87,5.68,87,0.7,733.581811,1955944,0.408,6.2
Lebanon,Developing,73.2,17,1,1.98,70.13207838,77,36,59.1,1,77,1.5,77,0.1,5436.595223,3522837,0,15.2
Libya,Developing,72.7,138,1,,0,97,82,64.8,2,97,,97,0.1,,,0.719,13.4
Democratic People's Republic of Korea,Developing,68.5,165,10,3.21,0,92,0,27.7,13,97,,79,0.1,,,,
Myanmar,Developing,62.8,235,71,0.41,3.421880938,,736,14.6,96,84,2.5,79,0.4,143.77651,471422,0.435,7.6
Iran (Islamic Republic of),Developing,75,154,29,0.01,0,98,11644,46.9,35,99,5.42,99,0.1,,,0.679,11.8
Bahamas,Developing,74.1,172,0,10.49,0,93,0,58.1,0,93,5.95,93,0.1,,,0.786,12.4
Croatia,Developed,75.4,114,0,13.11,1116.396502,,54,56.9,0,96,6.56,96,0.1,9365.742468,4439,0.771,13.3
India,Developing,68,184,957,3.07,86.52153895,79,79563,18.1,1200,84,4.69,85,0.2,1573.11889,1293859294,0.607,11.6
Fiji,Developing,67.7,221,0,2.05,31.25834616,98,0,5.2,0,91,3.87,9,0.1,276.1338,811223,0.681,13.1
Iran (Islamic Republic of),Developing,73.3,122,23,0.03,0,99,262,52.5,27,99,7.63,99,0.1,,,0.728,12.8
Grenada,Developing,72.6,154,0,7.91,145.8401998,97,0,43.9,0,94,6.41,97,0.1,7365.666659,,0,15.8
Bangladesh,Developing,77,137,111,0.01,59.2589257,94,1986,16.4,139,94,3.8,94,0.1,856.342857,15572753,0.557,9.9
Namibia,Developing,56.5,426,3,5.09,205.8078833,,416,25.1,4,79,6.18,78,23.9,1834.29486,1933596,0.556,11.7
Grenada,Developing,71.9,164,0,9.06,95.19375921,96,0,41.8,0,96,5.88,96,0.1,7322.596862,,0,15.3
Colombia,Developing,73.1,147,15,4.53,62.43710774,93,0,51.3,17,94,6.11,93,0.1,379.78776,43835722,0.669,11.5
Canada,Developing,79.1,82,2,7.6,3787.49456,,206,57.8,2,88,8.67,89,0.1,24124.16917,37697,0.864,15.9
El Salvador,Developing,73.5,178,2,,0,91,0,56.1,2,92,,91,0.2,4127.11775,6312478,0.678,13.2
Philippines,Developing,67.5,216,62,4.19,137.327474,87,530,21.1,80,87,3.94,87,0.1,1672.685433,8929349,0.648,11.4
Papua New Guinea,Developing,62.7,278,10,0.01,208.2311603,67,2299,47.9,13,64,4.26,73,0.7,2182.716565,7755785,0.511,10
Sri Lanka,Developing,71.8,183,4,2.05,13.39092189,97,21,19.2,4,97,3.37,97,0.1,216.681584,19968,0.735,13.4
Bahrain,Developing,76.1,76,0,1.66,197.7734681,99,0,6.8,0,99,3.4,99,0.1,2281.1242,,0.812,14.4
The former Yugoslav republic of Macedonia,Developing,72.6,125,0,2.86,0,,36,52.7,0,96,8.52,95,0.1,,,0,11.7
Uganda,Developing,57.5,378,82,9.63,87.04534954,79,1601,15.9,124,78,8.43,79,8.1,647.17732,32771895,0.464,10.8
Democratic People's Republic of Korea,Developing,68.6,164,9,3.16,0,92,8,29.2,12,98,,92,0.1,,,,
Republic of Korea,Developing,76.7,17,3,11.45,0,89,23060,25.2,4,99,4.76,97,0.1,,,,
Costa Rica,Developing,78.1,16,1,3.58,2377.010299,89,0,55.5,1,93,9.66,88,0.1,8199.414621,454528,0.749,13.3
Congo,Developing,64.7,267,7,,0,8,1359,27.4,10,8,,8,2.8,,,0.59,11.1
Dominican Republic,Developing,72.9,164,6,6.05,74.8217488,81,0,5.4,8,86,4.34,85,1.6,4647.31359,954353,0.685,12.7
Antigua and Barbuda,Developing,73.8,154,0,7.51,163.7676978,96,0,38.9,0,99,4.48,97,0.1,9358.154162,,0,0
Cameroon,Developing,51.8,412,60,4.64,67.63925302,,899,22.3,95,72,4.97,73,7.7,824.8689393,16513822,0.452,8.1
Morocco,Developing,69.9,146,24,0.58,88.16506179,9,10841,47.3,28,91,5.25,91,0.1,1721.973863,29843937,0.551,9.3
Haiti,Developing,62.5,251,16,5.85,41.30079452,,0,43,21,65,6.68,65,2,668.297646,985287,0.466,8.5
Madagascar,Developing,58.7,276,42,1.05,42.56331585,,9357,14.3,65,6,5.17,6,0.7,278.555732,1626932,0.456,8.2
Turkey,Developing,73.5,121,25,1.39,22.67271848,92,0,6.2,29,96,6.7,96,0.1,185.68975,74432,0.705,12.5
United Arab Emirates,Developing,76.7,78,1,1.82,377.2009132,98,0,6.5,1,98,3.49,98,0.1,4335.64268,,0.829,13.3
Albania,Developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,2947314,0.713,12
Brunei Darussalam,Developing,76,89,0,0.12,1406.51194,99,24,29.1,0,99,3.9,92,0.1,18555.56649,,0.823,13.4
Yemen,Developing,64.7,236,36,0.04,0,67,2177,38.7,46,68,5.73,67,0.1,,,0.494,9
Seychelles,Developing,72.7,174,0,0.01,177.2633961,99,0,34.8,0,98,4.8,98,0.1,12845.17363,8833,0.755,13.5
Micronesia (Federated States of),Developing,69.4,166,0,,0,78,0,69.4,0,71,,72,0.1,,,0.637,11.7
Lebanon,Developing,74.4,98,1,1.72,8.906931168,8,373,61.9,1,75,8.9,8,0.1,614.271115,486466,0.731,12.9
Lithuania,Developed,72.2,192,0,12.4,1446.529217,95,0,59.7,0,98,7.53,98,0.1,11837.3913,3162916,0.825,16.6
Democratic Republic of the Congo,Developing,59.3,266,237,0.01,0,8,33711,21.1,312,79,4.33,8,1.1,,,,
Guinea,Developing,52.5,328,37,0.17,2.215986136,,11294,16.6,60,47,3.46,46,3,34.516918,888546,0.316,4.8
Syrian Arab Republic,Developing,73.8,122,8,0.8,0,83,19,5.4,9,83,3.4,79,0.1,,2325443,0.651,11.6
Haiti,Developing,62.7,253,14,5.68,4.989712322,68,0,47.7,19,67,8.1,68,0.5,81.265673,1431776,0.483,9.1
Azerbaijan,Developing,71.1,13,5,1.98,246.5686008,8,0,48,6,85,5.33,81,0.1,5842.85784,954332,0.737,11.7
Italy,Developed,79.4,77,3,9.78,31.50582204,94,1457,55,3,97,7.91,87,0.1,251.2426,5694218,0.823,14.8
Montenegro,Developing,76.1,16,0,,0,82,0,61.8,0,89,,89,0.1,6461.192554,622159,0.804,15.1
Panama,Developing,75.8,123,1,5.69,527.60848,95,0,49.5,2,92,8.9,95,0.2,4591.892776,3269541,0.733,12.8
Madagascar,Developing,64,267,38,0.81,23.72796328,71,35558,15.4,58,74,4.89,78,0.6,245.1235876,1782997,0.466,8.7
Latvia,Developed,73.8,163,0,10.21,1356.022164,9,3,59.8,0,91,5.91,91,0.1,13822.8559,234319,0.812,15.5
Oman,Developing,74.3,118,1,0.63,854.0115758,99,25,49.5,1,99,2.59,99,0.1,12376.97936,,0.742,11.5
Bahamas,Developing,74.5,167,0,10.15,0,9,0,6.1,0,93,7.3,93,0.1,,,0.791,12.6
Chile,Developing,79.9,84,2,6.76,2260.777642,9,0,61.8,2,9,7.24,9,0.1,15431.9293,1739746,0.826,15.5
Mauritania,Developing,61.4,217,8,0.02,61.76263795,74,4,26.1,12,73,3.23,74,1.3,1167.535689,347541,0.475,7.2
Republic of Moldova,Developing,68.9,228,1,9.07,0,97,0,49.5,1,96,11.41,9,0.1,,,,
Zimbabwe,Developing,52.4,527,29,5.21,53.30858081,9,9696,29.4,44,89,5.37,89,15.7,713.63562,1486317,0.436,10
Malta,Developed,80,64,0,7.14,2655.573684,86,1,66.6,0,72,8.15,72,0.1,21928.767,49379,0.813,14.6
Belgium,Developed,78.3,95,0,11.28,507.306164,64,44,59.4,1,96,9.3,95,0.1,3743.95693,1376133,0.878,18.6
Bangladesh,Developing,67.3,158,185,0.01,4.11469667,11,9743,12,247,88,2.62,99,0.1,46.7579167,14137489,0.491,8.1
Tajikistan,Developing,65.5,194,10,0.37,19.83672308,81,0,33.5,12,79,5.89,84,0.3,337.359236,6854176,0.572,10.6
Tonga,Developing,72.4,148,0,1.79,503.5881956,89,0,7.1,0,89,5.61,88,0.1,2892.522663,11689,0.695,14.6
Brunei Darussalam,Developing,76,1,0,0.85,2048.557422,97,0,33.2,0,95,2.32,99,0.1,32672.36717,,0.84,14.3
Saint Lucia,Developing,74.2,147,0,10.87,0,97,0,43.8,0,97,8.1,97,0.1,,,0.724,12.8
France,Developing,82,81,3,11.1,6646.953935,74,272,61.6,3,99,11.56,99,0.1,42554.1225,6599857,0.887,16.2
Haiti,Developing,62.3,259,15,5.68,26.37942542,,0,46.5,20,67,9.88,67,0.8,766.8437623,128921,0.477,8.9
Sierra Leone,Developing,39,533,29,3.97,20.39568283,,3575,17.2,48,46,13.63,44,1.2,139.3147734,4564297,0.292,6.7
Philippines,Developing,67.3,218,66,4.45,13.39905105,48,3025,19.6,86,85,3.23,88,0.1,179.3715,84678493,0.636,11.6
Mauritania,Developing,66,223,8,0.01,55.12187071,42,127,24.2,12,71,4.21,71,1.3,697.7451989,31372,0.461,7.2
New Zealand,Developed,81.6,66,0,8.7,0,92,10,67.5,0,92,,92,0.1,3821.8937,,0.913,19.2
Albania,Developing,73,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,326939,0.681,10.9
Australia,Developed,82,63,1,10.3,10986.26527,92,190,64.4,1,92,9.2,92,0.1,62245.129,223424,0.927,19.8
Kyrgyzstan,Developing,66.7,234,4,2.48,0,9,27,38.5,4,93,6.73,92,0.1,,,0.613,12.5
Kenya,Developing,62.6,258,58,1.84,165.9304977,93,190,2.7,81,94,5.57,87,3,1229.114798,44826849,0.541,11.1
Nepal,Developing,62.5,238,46,0.08,17.9123368,,9397,11.4,62,74,5.43,74,0.1,231.42554,2374911,0.439,8.9
Philippines,Developing,67.5,217,60,4.21,155.4767618,88,341,21.6,78,91,4.5,91,0.1,1919.466195,9751864,0.655,11.5
Malaysia,Developing,74.3,13,3,0.51,9.23002632,96,1569,36.3,4,96,3.89,96,0.1,145.1262,28635128,0.774,13
Austria,Developed,79.3,86,0,12.1,5316.877456,83,15,52.2,0,83,1.56,83,0.1,36693.4262,8171966,0.841,14.7
Mexico,Developing,76,123,38,5.35,105.7476131,98,0,57.9,45,98,5.92,98,0.1,933.341687,111836346,0.731,12.3
Thailand,Developing,74.5,153,9,6.5,788.6873403,99,2641,31.3,10,99,4,99,0.1,6171.262444,6814365,0.733,13.6
United Republic of Tanzania,Developing,56.2,376,92,3.44,0,86,3413,19.6,138,89,4.21,86,7.4,,,,
Belize,Developing,68.7,197,0,6.2,325.6807462,97,0,43.2,0,97,4.39,97,0.8,3831.53819,27689,0.691,12.5
Senegal,Developing,57.5,25,27,0.29,5.397368532,,5839,17.5,50,49,4.63,52,0.5,473.45338,988452,0.378,5.2
Kenya,Developing,59.1,317,62,1.86,7.146851404,88,1218,18.4,91,89,4.17,88,5,92.816252,423724,0.514,10.7
Sudan,Developing,67,261,66,1.55,37.59039592,22,1374,,101,78,3.18,78,0.2,679.7539949,3911914,0.423,6.1
Qatar,Developing,77,79,0,1.11,3688.694288,99,112,65.6,0,98,2.63,99,0.1,61478.23813,,0.828,11.8
Nigeria,Developing,47.7,49,571,9.61,17.137754,,42007,17.8,928,4,2.43,25,5.3,459.4572117,12866671,0,7.7
Honduras,Developing,73.9,153,4,3.1,32.16407994,97,0,47.6,5,97,8.57,97,0.4,212.584798,83516,0.611,11.7
Burundi,Developing,51.3,385,25,6.09,10.61917585,,0,13,40,72,4.96,81,5.3,133.7427689,6555829,0.268,4.5
Serbia,Developing,73.1,135,1,7.53,222.5065705,,35,51.7,1,93,6.89,93,0.1,1634.87561,753433,0.709,13.1
Iran (Islamic Republic of),Developing,71.2,142,31,0.01,0,99,9554,46.2,37,99,5.39,99,0.1,,,0.674,11.9
Ghana,Developing,62.1,253,37,0.01,97.67794571,98,124,28,54,93,3.56,98,0.8,1432.227943,26962563,0.576,11.7
Afghanistan,Developing,58.6,281,77,0.01,56.76221682,63,2861,16.2,106,63,9.42,63,0.1,445.8932979,284331,0.434,8.9
South Africa,Developing,55.3,473,50,8.19,780.0336423,76,39,45.7,75,77,7.75,79,23.5,5786.59972,49557573.3,0.616,12.9
Kazakhstan,Developing,67.8,235,7,6.64,808.243302,99,0,48.5,8,99,4.13,98,0.1,7165.2775,169271,0.758,14.6
Luxembourg,Developed,79.7,82,0,11.75,267.051312,87,0,57.9,0,96,6.8,99,0.1,1618.4928,479993,0.877,13.5
Turkey,Developing,75.8,16,15,,0,97,342,66.1,18,97,,97,0.1,1979.52569,78271472,0.764,14.5
Austria,Developed,88,7,0,12.26,7878.372355,92,36,56.1,0,92,11.17,92,0.1,48333.57273,8429991,0.884,15.7
Congo,Developing,68,314,7,3.47,0,75,1,23.9,11,76,2.27,78,4,,,0.545,10.3
Liberia,Developing,51.5,333,14,4.4,16.72142854,,1379,2.4,20,54,6.41,42,3.1,174.1815473,2991132,0.386,10.5
New Zealand,Developed,78.7,83,0,9.13,2892.257132,89,21,6.3,0,84,7.89,9,0.1,16874.31232,,0.873,17.5
Cabo Verde,Developing,69.9,155,0,3.49,122.5744699,,2,21.5,0,9,4.81,9,0.8,1239.377855,43579,0,11.3
San Marino,Developing,,,0,0.01,0,69,0,,0,69,6.5,69,0.1,,,,15.1
Montenegro,Developing,75.8,19,0,0.01,707.144691,9,0,6.7,0,94,6.43,94,0.1,7186.429787,62127,0.799,15.1
Antigua and Barbuda,Developing,75.6,138,0,7.84,1983.956937,98,0,44.4,0,99,5.63,98,0.1,12126.87614,,0.783,14.1
Saint Lucia,Developing,74.6,143,0,10.43,0,99,0,44.5,0,99,7.58,99,0.1,,,0.733,12.9
Mauritania,Developing,62.2,212,8,0.01,79.27658464,75,234,28.1,12,73,2.87,75,1.2,1393.261593,3717672,0.487,7.7
Tunisia,Developing,72.9,112,4,1.21,264.7842196,94,47,48.1,5,97,5.4,97,0.1,2213.91488,9699197,0.646,12.8
Gambia,Developing,56.3,3,3,2.25,0,91,99,18.5,6,85,3.71,87,2.3,,,0.384,6.8
Ecuador,Developing,74.4,151,8,3.69,18.26183281,82,0,45.8,10,97,6.46,87,0.3,244.46898,1328961,0.679,12.6
Italy,Developed,82.3,58,2,7.35,483.1916844,96,0,62.6,2,96,9.22,96,0.1,3537.27441,6233948,0.876,16.5
Lebanon,Developing,73.5,15,1,2.19,527.9176618,74,526,59.7,1,74,9.3,74,0.1,5425.6697,371464,0,14.8
Comoros,Developing,61.8,246,2,0.15,47.30421873,74,0,21.6,2,82,5.82,74,0.1,769.1742883,689692,0.476,10.5
Papua New Guinea,Developing,61.8,286,10,0.79,18.99961966,56,0,44.9,14,72,4.18,67,1.1,1366.879112,718239,0.485,9.6
Central African Republic,Developing,49.9,451,16,0.01,52.37766601,23,596,21.6,23,23,3.82,23,5.1,337.4849614,4499653,0.37,7.1
Kazakhstan,Developing,69.1,214,6,6.82,235.3566066,95,55,5.6,7,98,4.32,99,0.1,12387.18982,16791425,0.774,14.7
Jamaica,Developing,74.5,145,1,3.51,31.76575838,92,2,48.9,1,91,5.4,91,0.4,492.492378,279122,0.718,12.6
Ecuador,Developing,73.4,158,9,4.13,14.5887403,69,2,44.3,10,9,3.86,89,0.3,193.741571,12852755,0.67,12.4
United Arab Emirates,Developing,74.2,17,1,1.64,262.9589578,92,69,54.1,1,94,2.38,94,0.1,3371.26869,,0.791,11.8
Chile,Developing,79.3,91,2,7.67,181.525923,94,1,59.9,2,94,7.39,94,0.1,1243.32824,16829442,0.816,15.3
Uganda,Developing,60,339,73,0.01,92.88697859,78,2027,17.2,109,82,7.58,78,4.6,647.74741,3636796,0.477,10
Jamaica,Developing,73,167,1,3.76,211.1143318,,0,43.5,1,99,4.86,99,2.3,3596.496282,2695446,0.69,11.7
